,Apartment_Name,Apartment_Add,Apartment_Price,Apartment_Tel,Apartment_Type,Apartment_Link
142,Apartment for Rent,"1909 Waterfront Pl, Pittsburgh, PA 15222","$2,289",(415) 231-1701,1 Bed,https://www.apartments.com/1909-waterfront-pl-pittsburgh-pa/v6p6zxf/
143,Apartment for Rent,"1909 Waterfront Pl, Pittsburgh, PA 15222","$2,314",(415) 231-1701,1 Bed,https://www.apartments.com/1909-waterfront-pl-pittsburgh-pa/kvnztpb/
144,Apartment for Rent,"1909 Waterfront Pl, Pittsburgh, PA 15222","$2,763",(415) 231-1701,1 Bed,https://www.apartments.com/1909-waterfront-pl-pittsburgh-pa/1xdp4e6/
145,Apartment for Rent,"300 Heinz St, Pittsburgh, PA 15212","$2,810",(415) 231-1701,2 Bed,https://www.apartments.com/300-heinz-st-pittsburgh-pa/yg4lyls/
146,Apartment for Rent,"300 Heinz St, Pittsburgh, PA 15212","$2,086",(628) 432-7870,1 Bed,https://www.apartments.com/300-heinz-st-pittsburgh-pa/jywtdm7/
147,Apartment for Rent,"300 Heinz St, Pittsburgh, PA 15212","$1,914",(628) 758-7055,1 Bed,https://www.apartments.com/300-heinz-st-pittsburgh-pa/8dswes0/
148,Condo for Rent,"307 S Dithridge St, Pittsburgh, PA 15213","$2,100",(412) 548-1588,2 Bed,https://www.apartments.com/307-s-dithridge-st-pittsburgh-pa/5kgg1hp/
149,Townhome for Rent,"825 Morewood Ave, Pittsburgh, PA 15213","$2,400",(724) 733-7100,3 Bed,https://www.apartments.com/825-morewood-ave-pittsburgh-pa/4wewtsh/
150,Apartment for Rent,"15 Boundary St, Pittsburgh, PA 15213","$2,795",(724) 680-1472,4 Bed,https://www.apartments.com/15-boundary-st-pittsburgh-pa/jw0vsc6/
151,Apartment for Rent,"340 S Bouquet St, Pittsburgh, PA 15213","$1,700",(724) 313-5295,3 Bed,https://www.apartments.com/340-s-bouquet-st-pittsburgh-pa/ybt5ykr/
152,Apartment for Rent,"3812 Pier St, Pittsburgh, PA 15213","$2,850",(412) 520-8105,4 Bed,https://www.apartments.com/3812-pier-st-pittsburgh-pa/y7j30mr/
153,Apartment for Rent,"5326 5th Ave, Pittsburgh, PA 15232","$1,299",(724) 343-3448,1 Bed,https://www.apartments.com/5326-5th-ave-pittsburgh-pa/8wdxsx2/
154,Apartment for Rent,"416 Oakland Ave, Pittsburgh, PA 15213","$1,950",(724) 313-5324,3 Bed,https://www.apartments.com/416-oakland-ave-pittsburgh-pa/f0j4wts/
155,Apartment for Rent,"1 Oakland Sq, Pittsburgh, PA 15213","$2,500",(724) 313-5294,5 Bed,https://www.apartments.com/1-oakland-sq-pittsburgh-pa/39sh5bg/
156,Apartment for Rent,"3614 Dawson St, Pittsburgh, PA 15213","$1,800",(724) 470-0218,3 Bed,https://www.apartments.com/3614-dawson-st-pittsburgh-pa/d4n80dj/
157,Apartment for Rent,"3612 Dawson St, Pittsburgh, PA 15213","$1,800",(412) 212-7192,3 Bed,https://www.apartments.com/3612-dawson-st-pittsburgh-pa/c3h5kwd/
158,House for Rent,"417 Semple St, Pittsburgh, PA 15213","$2,100",(724) 313-5297,3 Bed,https://www.apartments.com/417-semple-st-pittsburgh-pa/zmnsmez/
159,Apartment for Rent,"5420 Ellsworth Ave, Pittsburgh, PA 15232","$1,100 - 1,800",,Studio - 2 Bed,https://www.apartments.com/5420-ellsworth-ave-pittsburgh-pa/4bj96zk/
160,Townhome for Rent,"416 Semple St, Pittsburgh, PA 15213","$4,200",(412) 727-8544,6 Bed,https://www.apartments.com/416-semple-st-pittsburgh-pa/fph4fgr/
161,Apartment for Rent,"418 Semple St, Pittsburgh, PA 15213","$1,800",(724) 470-0696,3 Bed,https://www.apartments.com/418-semple-st-pittsburgh-pa/n5b1nfp/
162,Apartment for Rent,"4739 Maripoe St, Pittsburgh, PA 15213",$975,(724) 733-7100,1 Bed,https://www.apartments.com/4739-maripoe-st-pittsburgh-pa/kb4ny19/
163,Apartment for Rent,"3530 Louisa St, Pittsburgh, PA 15213","$1,799",(724) 313-5312,2 Bed,https://www.apartments.com/3530-louisa-st-pittsburgh-pa/rlb3cj3/
164,Apartment for Rent,"331 McKee Plz, Pittsburgh, PA 15213","$1,250",(724) 313-5212,2 Bed,https://www.apartments.com/331-mckee-plz-pittsburgh-pa/d5r80gj/
165,Apartment for Rent,"3510 Louisa St, Pittsburgh, PA 15213","$1,799",(724) 313-5313,2 Bed,https://www.apartments.com/3510-louisa-st-pittsburgh-pa/rhxc9g3/
166,Apartment for Rent,"734 S Millvale Ave, Pittsburgh, PA 15213","$1,749",(724) 409-4416,3 Bed,https://www.apartments.com/734-s-millvale-ave-pittsburgh-pa/7dvkbcw/
167,Apartment for Rent,"732 S Millvale Ave, Pittsburgh, PA 15213","$1,490 - 1,699",(724) 470-0093,3 Bed,https://www.apartments.com/732-s-millvale-ave-pittsburgh-pa/htn7503/
168,Townhome for Rent,"3424 Ward St, Pittsburgh, PA 15213","$900 - 2,000",,1-4 Bed,https://www.apartments.com/3424-ward-st-pittsburgh-pa/t3zw7bb/
169,House for Rent,"3377 Parkview Ave, Pittsburgh, PA 15213","$2,400",(412) 923-4140,4 Bed,https://www.apartments.com/3377-parkview-ave-pittsburgh-pa/jjcpy64/
170,House for Rent,"4 Welsford St, Pittsburgh, PA 15213","$4,200",(724) 313-5311,6 Bed,https://www.apartments.com/4-welsford-st-pittsburgh-pa/ebdfs1n/
171,Apartment for Rent,"3501 Boulevard of the Allies Blvd, Pittsburgh, PA 15213","$1,300",(724) 417-9658,2 Bed,https://www.apartments.com/3501-boulevard-of-the-allies-blvd-pittsburgh-pa/15dwhq4/
172,Apartment for Rent,"212 Coltart Ave, Pittsburgh, PA 15213","$2,670",(724) 680-1469,4 Bed,https://www.apartments.com/212-coltart-ave-pittsburgh-pa/ewxvm2p/
173,Townhome for Rent,"3332 Parkview Ave, Pittsburgh, PA 15213","$1,975",(412) 506-8456,3 Bed,https://www.apartments.com/3332-parkview-ave-pittsburgh-pa/f6m1j3s/
174,House for Rent,"3325 Parkview Ave, Pittsburgh, PA 15213","$2,200",(724) 470-0768,4 Bed,https://www.apartments.com/3325-parkview-ave-pittsburgh-pa/kljwctb/
175,Apartment for Rent,"706 Summerlea St, Pittsburgh, PA 15232","$1,625",(412) 329-4812,2 Bed,https://www.apartments.com/706-summerlea-st-pittsburgh-pa/xbljjnn/
176,Apartment for Rent,"708 Summerlea St, Pittsburgh, PA 15232","$1,625",(412) 329-4786,2 Bed,https://www.apartments.com/708-summerlea-st-pittsburgh-pa/jdn4ys6/
177,House for Rent,"3312 Juliet St, Pittsburgh, PA 15213","$2,200",(724) 470-0766,4 Bed,https://www.apartments.com/3312-juliet-st-pittsburgh-pa/f0y08vv/
178,Condo for Rent,"5570 Centre Ave, Pittsburgh, PA 15232","$1,800",(724) 933-8500,1 Bed,https://www.apartments.com/5570-centre-ave-pittsburgh-pa/wvx1kdh/
179,Condo for Rent,"5570 Centre Ave, Pittsburgh, PA 15232","$2,400",(412) 655-0400,2 Bed,https://www.apartments.com/5570-centre-ave-pittsburgh-pa/2m9ty09/
180,Townhome for Rent,"4735 Juniper St, Pittsburgh, PA 15224","$1,100",(412) 506-8457,2 Bed,https://www.apartments.com/4735-juniper-st-pittsburgh-pa/zn5e1cw/
181,Apartment for Rent,"447 S Atlantic Ave, Pittsburgh, PA 15224","$1,025",(412) 506-8436,1 Bed,https://www.apartments.com/447-s-atlantic-ave-pittsburgh-pa/jr6znt6/
182,Condo for Rent,"3254 Niagara Sq, Pittsburgh, PA 15213","$1,200",,1 Bed,https://www.apartments.com/3254-niagara-sq-pittsburgh-pa-unit-3254/f4p5vpt/
183,Apartment for Rent,"420 S Graham St, Pittsburgh, PA 15232",$925 - 950,(412) 430-0589,2 Bed,https://www.apartments.com/420-s-graham-st-pittsburgh-pa/hsr4y63/
184,House for Rent,"4767 Cypress St, Pittsburgh, PA 15224","$1,250",(412) 799-6772,2 Bed,https://www.apartments.com/4767-cypress-st-pittsburgh-pa/8vqjc61/
185,Apartment for Rent,"705 Cherokee St, Pittsburgh, PA 15219","$1,800",(724) 733-7100,3 Bed,https://www.apartments.com/705-cherokee-st-pittsburgh-pa/5nhl2zm/
186,House for Rent,"428 Garnet Way, Pittsburgh, PA 15224","$1,795",(724) 470-0784,3 Bed,https://www.apartments.com/428-garnet-way-pittsburgh-pa/50gdzwp/
187,House for Rent,"3142 Bates St, Pittsburgh, PA 15213","$1,200",(412) 506-8704,4 Bed,https://www.apartments.com/3142-bates-st-pittsburgh-pa/9gpvgn6/
188,Townhome for Rent,"361 Ophelia St, Pittsburgh, PA 15213","$2,800",,4 Bed,https://www.apartments.com/361-ophelia-st-pittsburgh-pa/d1y6f3l/
189,House for Rent,"3217 Joe Hammer Square, Pittsburgh, PA 15213","$3,050",(412) 429-4339,5 Bed,https://www.apartments.com/3217-joe-hammer-square-pittsburgh-pa/f27l50v/
190,Apartment for Rent,"29 Lawn St, Pittsburgh, PA 15213","$1,700",(412) 927-3405,4 Bed,https://www.apartments.com/29-lawn-st-pittsburgh-pa/dlzth5j/
191,Apartment for Rent,"5552 Covode St, Pittsburgh, PA 15217",$895,(724) 602-9730,1 Bed,https://www.apartments.com/5552-covode-st-pittsburgh-pa/v4peczd/
192,Apartment for Rent,"254 S Mathilda St, Pittsburgh, PA 15224","$1,600",(412) 212-3462,2 Bed,https://www.apartments.com/254-s-mathilda-st-pittsburgh-pa/jmenb85/
193,Apartment for Rent,"5635 Hobart St, Pittsburgh, PA 15217",$850 - 870,(412) 557-7973,1 Bed,https://www.apartments.com/5635-hobart-st-pittsburgh-pa/mmbb84h/
194,Apartment for Rent,"5637 Hobart St, Pittsburgh, PA 15217",$815 - 830,(412) 314-1018,1 Bed,https://www.apartments.com/5637-hobart-st-pittsburgh-pa/kgve868/
195,Apartment for Rent,"5813 Bartlett St, Pittsburgh, PA 15217",$925,(724) 972-0255,1 Bed,https://www.apartments.com/5813-bartlett-st-pittsburgh-pa/8bs27j2/
196,Apartment for Rent,"5703 Hobart St, Pittsburgh, PA 15217","$1,199",(412) 218-0238,1 Bed,https://www.apartments.com/5703-hobart-st-pittsburgh-pa/y4d55yr/
197,Apartment for Rent,"265 Gross St, Pittsburgh, PA 15224","$1,120",(412) 357-4286,2 Bed,https://www.apartments.com/265-gross-st-pittsburgh-pa/q0lydkx/
198,Apartment for Rent,"880 Flemington St, Pittsburgh, PA 15217",Call for Rent,(412) 521-5500,2 Bed,https://www.apartments.com/880-flemington-st-pittsburgh-pa/bgf66pc/
199,Apartment for Rent,"5862 Forbes Ave, Pittsburgh, PA 15217",$770,(412) 253-6539,Studio,https://www.apartments.com/5862-forbes-ave-pittsburgh-pa/m6swwjk/
200,Apartment for Rent,"853 Mirror St, Pittsburgh, PA 15217",$800,(412) 688-6031,1 Bed,https://www.apartments.com/853-mirror-st-pittsburgh-pa/brv4fy8/
201,House for Rent,"4412 Milgate St, Pittsburgh, PA 15224","$1,700",(724) 733-7100,3 Bed,https://www.apartments.com/4412-milgate-st-pittsburgh-pa/ld3cdbe/
202,Townhome for Rent,"509 Farnsworth St, Pittsburgh, PA 15207",$995,(724) 313-5341,2 Bed,https://www.apartments.com/509-farnsworth-st-pittsburgh-pa/dyks67k/
203,House for Rent,"524 Farnsworth St, Pittsburgh, PA 15207","$1,270",,2 Bed,https://www.apartments.com/524-farnsworth-st-pittsburgh-pa/rqeclr1/
204,Apartment for Rent,"2309 Eldridge St, Pittsburgh, PA 15217","$1,380",(407) 542-9089,2 Bed,https://www.apartments.com/2309-eldridge-st-pittsburgh-pa/zhdbe4z/
205,Townhome for Rent,"4823 Broad St, Pittsburgh, PA 15224","$1,400",(412) 200-7917,2 Bed,https://www.apartments.com/4823-broad-st-pittsburgh-pa/g633x1z/
206,Townhome for Rent,"4823 Broad St, Pittsburgh, PA 15224","$1,400",(724) 933-8500,2 Bed,https://www.apartments.com/4823-broad-st-pittsburgh-pa/fyp4mbr/
207,Townhome for Rent,"4018 Murray Ave, Pittsburgh, PA 15217","$1,750",(724) 933-6300,3 Bed,https://www.apartments.com/4018-murray-ave-pittsburgh-pa/v1r9wee/
208,House for Rent,"3459 Denny St, Pittsburgh, PA 15201","$1,700",(412) 927-4557,3 Bed,https://www.apartments.com/3459-denny-st-pittsburgh-pa/b2zkl7b/
209,Apartment for Rent,"210 N Highland Ave, Pittsburgh, PA 15206","$1,150",(412) 521-2222,1 Bed,https://www.apartments.com/210-n-highland-ave-pittsburgh-pa/wzhkb0k/
210,Apartment for Rent,"6225 Monitor St, Pittsburgh, PA 15217","$1,600",(724) 860-6263,2 Bed,https://www.apartments.com/6225-monitor-st-pittsburgh-pa/zjkvplx/
211,Townhome for Rent,"225 Tasso St, Pittsburgh, PA 15207","$1,500",(412) 430-4420,2 Bed,https://www.apartments.com/225-tasso-st-pittsburgh-pa/1x40vn5/
212,Townhome for Rent,"225 Tasso St, Pittsburgh, PA 15207","$1,500",(412) 521-2222,2 Bed,https://www.apartments.com/225-tasso-st-pittsburgh-pa/9c7j8y6/
213,Townhome for Rent,"2355 Tilbury Ave, Pittsburgh, PA 15217","$1,695",,3 Bed,https://www.apartments.com/2355-tilbury-ave-pittsburgh-pa/t942db8/
214,House for Rent,"2336 Carey Way, Pittsburgh, PA 15203",$950,(412) 506-8750,2 Bed,https://www.apartments.com/2336-carey-way-pittsburgh-pa/0pc76q3/
215,Apartment for Rent,"1125 Greenfield Ave, Pittsburgh, PA 15217","$1,495",(786) 598-2787,4 Bed,https://www.apartments.com/1125-greenfield-ave-pittsburgh-pa/wzslhek/
216,Townhome for Rent,"515 N Beatty St, Pittsburgh, PA 15206","$1,250",(724) 933-6300,2 Bed,https://www.apartments.com/515-n-beatty-st-pittsburgh-pa/89rhz43/
217,House for Rent,"2578 Beechwood Blvd, Pittsburgh, PA 15217","$1,950",(724) 933-6300,3 Bed,https://www.apartments.com/2578-beechwood-blvd-pittsburgh-pa/xyp023m/
218,House for Rent,"2124 Sidney St, Pittsburgh, PA 15203","$3,100",(412) 368-6814,5 Bed,https://www.apartments.com/2124-sidney-st-pittsburgh-pa/c4x5cjf/
219,Townhome for Rent,"325 N Murtland St, Pittsburgh, PA 15208","$1,450",(412) 506-8752,3 Bed,https://www.apartments.com/325-n-murtland-st-pittsburgh-pa/4xchnkh/
220,Apartment for Rent,"133 S 22nd St, Pittsburgh, PA 15203","$1,650",(724) 313-5340,2 Bed,https://www.apartments.com/133-s-22nd-st-pittsburgh-pa/j7nmrk4/
221,House for Rent,"1917 Wharton St, Pittsburgh, PA 15203","$1,495",,3 Bed,https://www.apartments.com/1917-wharton-st-pittsburgh-pa/j3e57z4/
222,Apartment for Rent,"6730 McPherson Blvd, Pittsburgh, PA 15208","$1,295",(412) 521-2222,3 Bed,https://www.apartments.com/6730-mcpherson-blvd-pittsburgh-pa/xw8f5vp/
223,Apartment for Rent,"6721 McPherson Blvd, Pittsburgh, PA 15208",$995,(724) 313-5321,1 Bed,https://www.apartments.com/6721-mcpherson-blvd-pittsburgh-pa/fyref9r/
224,Condo for Rent,"2419 Smallman St, Pittsburgh, PA 15222","$3,600",(724) 933-6300,2 Bed,https://www.apartments.com/2419-smallman-st-pittsburgh-pa/keb6619/
225,Apartment for Rent,"2015 Jane St, Pittsburgh, PA 15203","$1,450",(844) 323-8180,3 Bed,https://www.apartments.com/2015-jane-st-pittsburgh-pa/chhvs0g/
226,House for Rent,"49 Sterling St, Pittsburgh, PA 15203","$2,000",(412) 368-0462,4 Bed,https://www.apartments.com/49-sterling-st-pittsburgh-pa/tgfx4db/
227,Apartment for Rent,"525 Larimer Ave, pittsburgh, PA 15206",$725,(724) 633-9085,1 Bed,https://www.apartments.com/525-larimer-ave-pittsburgh-pa/01504x1/
228,Apartment for Rent,"1709 E Carson St, Pittsburgh, PA 15203","$1,100 - 1,300",,2 Bed,https://www.apartments.com/1709-e-carson-st-pittsburgh-pa/zyeg7xz/
229,Apartment for Rent,"1410 E Carson St, Pittsburgh, PA 15203","$1,350",(412) 520-8377,3 Bed,https://www.apartments.com/1410-e-carson-st-pittsburgh-pa/dztt8dj/
230,Apartment for Rent,"1300 Muriel St, Pittsburgh, PA 15203","$1,800",(724) 305-9956,2 Bed,https://www.apartments.com/1300-muriel-st-pittsburgh-pa/l0h14pg/
231,Apartment for Rent,"1035 Chislett St, Pittsburgh, PA 15206","$1,350 - 1,400",(412) 499-3063,1-2 Bed,https://www.apartments.com/1035-chislett-st-pittsburgh-pa/8rks620/
232,Townhome for Rent,"21 Saint Leo St, Pittsburgh, PA 15203","$1,650",(724) 323-0595,2 Bed,https://www.apartments.com/21-saint-leo-st-pittsburgh-pa/q4prxbw/
233,Apartment for Rent,"1628 Lowrie St, Pittsburgh, PA 15212",$895,,2 Bed,https://www.apartments.com/1628-lowrie-st-pittsburgh-pa/npyw9vq/
234,Apartment for Rent,"1506 Hatteras St, Pittsburgh, PA 15212","$1,700",,4 Bed,https://www.apartments.com/1506-hatteras-st-pittsburgh-pa/tx05d38/
235,Apartment for Rent,"1823 Niggel St, Pittsburgh, PA 15212",$650,(724) 313-5323,1 Bed,https://www.apartments.com/1823-niggel-st-pittsburgh-pa/5w1ng9n/
236,Townhome for Rent,"5214 Carnegie St, Pittsburgh, PA 15201","$1,795",(724) 933-6300,2 Bed,https://www.apartments.com/5214-carnegie-st-pittsburgh-pa/h1rv011/
237,Apartment for Rent,"573 S Braddock Ave, Pittsburgh, PA 15221","$1,450",(412) 275-0807,3 Bed,https://www.apartments.com/573-s-braddock-ave-pittsburgh-pa/25j4538/
238,Townhome for Rent,"1630 Waterfront Pl, Pittsburgh, PA 15222","$6,500",(412) 367-3200,3 Bed,https://www.apartments.com/1630-waterfront-pl-pittsburgh-pa/ds2q58l/
239,Apartment for Rent,"816 S Braddock Ave, Pittsburgh, PA 15221",$995,(724) 313-5303,2 Bed,https://www.apartments.com/816-s-braddock-ave-pittsburgh-pa/mh6z8nk/
240,Apartment for Rent,"201 Stanton Ave, Pittsburgh, PA 15209","$1,180",(412) 545-1203,1 Bed,https://www.apartments.com/201-stanton-ave-pittsburgh-pa/54mw2rm/
241,Condo for Rent,"824 Liberty Ave, Pittsburgh, PA 15222","$7,500",(412) 471-4900,3 Bed,https://www.apartments.com/824-liberty-ave-pittsburgh-pa/v6mxr1d/
242,Apartment for Rent,"313 S Trenton Ave, Pittsburgh, PA 15221","$1,099",(724) 343-3450,1 Bed,https://www.apartments.com/313-s-trenton-ave-pittsburgh-pa/rkpt3r1/
243,Apartment for Rent,"327 West St, Pittsburgh, PA 15221",$915,(724) 343-3447,1 Bed,https://www.apartments.com/327-west-st-pittsburgh-pa/z8dzr2y/
244,Condo for Rent,"301 Fifth Ave, Pittsburgh, PA 15222","$5,600",(412) 471-4900,3 Bed,https://www.apartments.com/301-fifth-ave-pittsburgh-pa/90ntxf4/
245,Condo for Rent,"301 Fifth Ave, Pittsburgh, PA 15222","$2,500",(412) 471-4900,2 Bed,https://www.apartments.com/301-fifth-ave-pittsburgh-pa/5wndtvn/
246,Condo for Rent,"301 Fifth Ave, Pittsburgh, PA 15222","$2,500",(412) 471-4900,2 Bed,https://www.apartments.com/301-fifth-ave-pittsburgh-pa/0yhnv82/
247,Townhome for Rent,"427 Biddle Ave, Pittsburgh, PA 15221","$1,191",(724) 343-3449,2 Bed,https://www.apartments.com/427-biddle-ave-pittsburgh-pa/jjcwlg6/
248,Apartment for Rent,"341 4th Ave, Pittsburgh, PA 15222","$1,250 - 2,100",(412) 457-8205,2-4 Bed,https://www.apartments.com/341-4th-ave-pittsburgh-pa/t7pcmeb/
249,Apartment for Rent,"429 Kelly Ave, Pittsburgh, PA 15221",$819,(724) 343-3443,1 Bed,https://www.apartments.com/429-kelly-ave-pittsburgh-pa/envr3nm/
250,Apartment for Rent,"1700 Morningside Ave, Pittsburgh, PA 15206","$1,595",(412) 357-4914,2 Bed,https://www.apartments.com/1700-morningside-ave-pittsburgh-pa/94bp1w7/
251,Townhome for Rent,"418 Cathedral Ave, Pittsburgh, PA 15210",$900,,2 Bed,https://www.apartments.com/418-cathedral-ave-pittsburgh-pa/vpt7xjf/
252,Condo for Rent,"306 Fourth Ave, Pittsburgh, PA 15222","$2,200",(412) 471-4900,2 Bed,https://www.apartments.com/306-fourth-ave-pittsburgh-pa/fs9kq0r/
253,Condo for Rent,"300 Fourth Ave, Pittsburgh, PA 15222","$3,500",(724) 933-6300,2 Bed,https://www.apartments.com/300-fourth-ave-pittsburgh-pa/chnd6lf/
254,Condo for Rent,"300 Fourth Ave, Pittsburgh, PA 15222","$2,400",(412) 471-4900,2 Bed,https://www.apartments.com/300-fourth-ave-pittsburgh-pa/tpszl18/
255,Nevilletree,"320 N Neville St, Pittsburgh, PA 15213",$725 - 810,(844) 245-6890,Studio,https://www.apartments.com/nevilletree-pittsburgh-pa/ge5ckmz/
256,409 Oakland Ave,"409 Oakland Ave, Pittsburgh, PA 15213","$2,750",(844) 865-4701,4 Bed,https://www.apartments.com/409-oakland-ave-pittsburgh-pa/mmdzbfk/
257,407 Oakland Ave,"407 Oakland Ave, Pittsburgh, PA 15213","$740 - 2,750",(844) 482-6778,Studio - 4 Bed,https://www.apartments.com/407-oakland-ave-pittsburgh-pa/jgysl24/
258,"3 br, 2 bath House - 416 oakland ave #3","416 Oakland Ave, Pittsburgh, PA 15213","$1,950",(412) 414-9629,3 Bed,https://www.apartments.com/3-br-2-bath-house-416-oakland-ave-3-pittsburgh-pa/j9xg5t7/
259,4610 Truro Pl,"4610 Truro Pl, Pittsburgh, PA 15213","$2,000",(412) 287-5712,4 Bed,https://www.apartments.com/4610-truro-pl-pittsburgh-pa/knppsrc/
260,10 Melba Pl,"10 Melba Pl, Pittsburgh, PA 15213","$2,000",(412) 287-5712,3 Bed,https://www.apartments.com/10-melba-pl-pittsburgh-pa/q4zf00w/
261,350 Melwood Ave,"350 Melwood Ave, Pittsburgh, PA 15213","$4,000",(412) 609-5063,5 Bed,https://www.apartments.com/350-melwood-ave-pittsburgh-pa/7b2lycy/
262,323 Semple St,"323 Semple St, Pittsburgh, PA 15213","$3,600",(412) 287-5712,5 Bed,https://www.apartments.com/323-semple-st-pittsburgh-pa/c08zptd/
263,3417 Dawson St,"3417 Dawson St, Pittsburgh, PA 15213","$2,100",(412) 860-5787,3 Bed,https://www.apartments.com/3417-dawson-st-pittsburgh-pa/w06syhj/
264,3417 Dawson St,"3417 Dawson St, Pittsburgh, PA 15213","$3,500",(412) 860-5787,5 Bed,https://www.apartments.com/3417-dawson-st-pittsburgh-pa/3mpw2yd/
265,3417 Dawson St,"3417 Dawson St, Pittsburgh, PA 15213","$1,000",(412) 860-5787,1 Bed,https://www.apartments.com/3417-dawson-st-pittsburgh-pa/q6w801x/
266,3417 Dawson St,"3417 Dawson St, Pittsburgh, PA 15213","$1,550",(412) 860-5787,2 Bed,https://www.apartments.com/3417-dawson-st-pittsburgh-pa/hh7nyn1/
267,"2 br, 2 bath House - 3424 1/2 Ward St., Lower","3424 1/2 Ward St, Pittsburgh, PA 15213","$1,350",(412) 242-1400,2 Bed,https://www.apartments.com/2-br-2-bath-house-3424-1-2-ward-st-lower-pittsburgh-pa/51vwc9m/
268,Arlington Houses,"525-529 S Aiken Ave, Pittsburgh, PA 15232","$1,390",(844) 274-5066,2 Bed,https://www.apartments.com/arlington-houses-pittsburgh-pa/nr1dp6m/
269,3617 Boulevard of the Allies,"3617 Boulevard of the Allies, Pittsburgh, PA 15213","$1,999",(412) 467-6678,3 Bed,https://www.apartments.com/3617-boulevard-of-the-allies-pittsburgh-pa/0c6xc33/
270,3889 Bigelow Blvd,"3889 Bigelow Blvd, Pittsburgh, PA 15213","$3,800",(412) 287-5712,6 Bed,https://www.apartments.com/3889-bigelow-blvd-pittsburgh-pa/kwfcdr8/
271,Kings Arms Apartments,"800 S Negley Ave, Pittsburgh, PA 15232","$840 - 1,340",(412) 533-5548,Studio - 2 Bed,https://www.apartments.com/kings-arms-apartments-pittsburgh-pa/kmszvc8/
272,"4 br, 2 bath House - 3325 1/2 Parkview","3349 1/2 Parkview Ave, Pittsburgh, PA 15213","$2,200",(412) 414-9629,4 Bed,https://www.apartments.com/4-br-2-bath-house-3325-1-2-parkview-pittsburgh-pa/6w7lb6t/
273,622 Gross St,"622 Gross St, Pittsburgh, PA 15224","$3,000",(412) 216-8777,2 Bed,https://www.apartments.com/622-gross-st-pittsburgh-pa/phr17ls/
274,3316 Hardie way,"3316 Hardie Way, Pittsburgh, PA 15213","$1,050",(412) 418-6301,2 Bed,https://www.apartments.com/3316-hardie-way-pittsburgh-pa/mjzh95l/
275,"4 br, 1.5 bath House - 3325 Parkview 1","3325 Parkview Ave, Pittsburgh, PA 15213","$2,200",(412) 414-9629,4 Bed,https://www.apartments.com/4-br-15-bath-house-3325-parkview-1-pittsburgh-pa/h34sfy0/
276,3304 Ward St,"3304 Ward St, Pittsburgh, PA 15213","$1,895",(412) 467-6678,5 Bed,https://www.apartments.com/3304-ward-st-pittsburgh-pa/ghs65pz/
277,17 Edith Place,"17 Edith Pl, Pittsburgh, PA 15213","$1,000",(412) 551-0070,2 Bed,https://www.apartments.com/17-edith-place-pittsburgh-pa/qwh3rzy/
278,"4 br, 2 bath House - 3312 juliet st 1","3312 Juliet St, Pittsburgh, PA 15213","$2,200",(412) 414-9629,4 Bed,https://www.apartments.com/4-br-2-bath-house-3312-juliet-st-1-pittsburgh-pa/45nzhth/
279,"3 br, 1 bath House - 202 Chesterfield Rd","202 Chesterfield Rd, Pittsburgh, PA 15213",$945,(724) 307-5470,3 Bed,https://www.apartments.com/3-br-1-bath-house-202-chesterfield-rd-pittsburgh-pa/se1m1q4/
280,5730 Holden St Unit Apartment #2R,"5730 Holden St, Pittsburgh, PA 15232","$1,295",(484) 552-9043,1 Bed,https://www.apartments.com/5730-holden-st-pittsburgh-pa-unit-apartment-2r/2mpz8dc/
281,BRETT,"5715 Ellsworth Ave, Pittsburgh, PA 15232","$770 - 1,465",(412) 506-8707,Studio - 2 Bed,https://www.apartments.com/brett-pittsburgh-pa/fn6hlcv/
282,"4 br, 1 bath House - 149 Chesterfield Rd","149 Chesterfield Rd, Pittsburgh, PA 15213","$1,795",(412) 676-7286,4 Bed,https://www.apartments.com/4-br-1-bath-house-149-chesterfield-rd-pittsburgh-pa/eq5xrtn/
283,"3 br, 2 bath House - 5628 Northumberland St","5628 Northumberland St, Pittsburgh, PA 15217","$1,995",(412) 676-7286,3 Bed,https://www.apartments.com/3-br-2-bath-house-5628-northumberland-st-pittsburgh-pa/4f478qk/
284,Spacious 3 Bedroom in Schenley Heights,"727 Clarissa St, Pittsburgh, PA 15219","$1,250",(412) 729-3000,3 Bed,https://www.apartments.com/spacious-3-bedroom-in-schenley-heights-pittsburgh-pa/1yjqcb6/
285,Tammerlane,"5812 Howe St, Pittsburgh, PA 15232",$665,(844) 868-9956,Studio,https://www.apartments.com/tammerlane-pittsburgh-pa/78h3qbw/
286,Hollendon Apartments,"1723 Wightman St, Pittsburgh, PA 15217","$1,350",(844) 379-5356,2 Bed,https://www.apartments.com/hollendon-apartments-pittsburgh-pa/zcg396w/
287,5714 Woodmont St,"5714 Woodmont St, Pittsburgh, PA 15217",$925,(724) 242-8241,2 Bed,https://www.apartments.com/5714-woodmont-st-pittsburgh-pa/rqk3882/
288,417 Lawn St,"417 Lawn St, Pittsburgh, PA 15213",$995,(412) 520-7684,2 Bed,https://www.apartments.com/417-lawn-st-pittsburgh-pa/xdv1frq/
